Description
VE Omega Sedan 4dr. Auto 4sp 3.6i
VR Executive Wagon 5dr. Auto 4sp 3.8i
ACA33R MY12 CV Wagon 5dr Man 5sp 4x4 2.4i
VZ@VE MY07 Executive Wagon 5dr. Auto 4sp 3.6i
ACR50R GLi Wagon 8st 5dr Spts Auto 4sp 2.4i
MCV36R Altise Sedan 4dr Auto 4sp 3.0i
VT Executive Wagon 5dr. Auto 4sp 3.8i
BA Mk II XT Sedan 4dr Spts Auto 4sp 4.0i
GE10L1 Hatchback 5dr Auto 4sp 2.5i
VR Berlina Sedan 4dr. Auto 4sp 3.8i
VE MY10 SV6 Utility Extended Cab 2dr. Spts Auto 6sp 645kg 3.6i
NS GLX Wagon 7st 5dr Spts Auto 5sp 4x4 3.2DT (Jun )
BA XR8 Ute Super Cab 2dr Man 5sp 631kg 5.4i
RZH125R Commuter Bus Super LWB 14st 4dr Man 5sp 2.4
GSV50R AT-X Sedan 4dr Spts Auto 6sp 3.5i
SY TX Wagon 5dr Spts Auto 4sp 4.0i
AHV40R MY10 Hybrid Sedan 4dr CVT 1sp 2.4i/105kW Hybrid
ACV40R MY10 Altise Sedan 4dr Auto 5sp 2.4i
S4 MY13 2.5i Wagon 5dr Lineartronic 6sp AWD
AU II Ghia Sedan 4dr Auto 4sp 5.0i
ZG MY07 LS Wagon 5dr CVT 6sp 4x4 2.4i
GD1021 Sedan 4dr Man 5sp 2.2i
BA Futura Sedan 4dr Spts Auto 4sp 4.0i
SX Ghia Wagon 5dr Spts Auto 4sp 4.0i (RWD)
D40 ST-X Utility Dual Cab 4dr Man 6sp 4x4 820kg 2.5DT
FG XR6 50th Anniversary Sedan 4dr Spts Auto 6sp 4.0i
VE MY10 Omega Sedan 4dr. Auto 4sp 3.6PLi
EP MY09 CDX Sedan 4dr. Spts Auto 6sp 2.0DT
VZ Executive Sedan 4dr. Auto 4sp 3.6i
TJ MY02 Sports Sedan 4dr Man 5sp 3.5i
ZZE122R 5Y Conquest Sedan 4dr Auto 4sp 1.8i
NC II Ghia Sedan 4dr Auto 4sp 4.0i
ZZE122R Spec 03 Conquest Sedan 4dr Auto 4sp 1.8i
NP MY05 GLX Wagon 7st 5dr Spts Auto 5sp 4x4 3.2DT
VS II Acclaim Series II Wagon 5dr. Auto 4sp 3.8i
PK XL Utility Crew Cab 4dr Auto 5sp 1114kg 2.5DT
CG Series II 7 LX Wagon 7st 5dr. Spts Auto 6sp AWD 2.2DT
VY Sedan 4dr. Auto 4sp 3.8i
BA Mk II XL Cab Chassis Super Cab 2dr Auto 4sp 1240kg 4.0i (Col)
WH Sedan 4dr. Auto 4sp 3.8SC
B5 MY11 2.5i Wagon 5dr Lineartronic 6sp AWD
KJ Xi Sedan 4dr Auto 4sp 3.5i
